instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_lateral_retail_value,new_lateral_scrap_value,new_edge_trim_value,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value,total_strip_produced_value,retails_generated_count,retails_generated_value
bf_qcv_045,period_1,1,39,1613862.22,1577741.15,75.46,41.23,690.8,18731.58,0.0,18731.58,16581.92,0.0,0,0,0,0.0,0.0,0.0,1577741.15,2,75.46
bf_qcv_045,period_2,2,35,1444375.62,1413441.27,0.0,128.0,624.93,15479.38,0.0,15479.38,14702.25,0.0,0,2,1,75.46,66.21,9.25,1413507.48,0,0.0
bf_qcv_045,period_3,3,44,1802439.11,1763996.3,0.0,109.52,776.64,18927.43,0.0,18927.43,18629.54,0.0,0,0,0,0.0,0.0,0.0,1763996.3,0,0.0
bf_qcv_045,period_4,4,30,1225182.81,1196976.84,102.12,220.96,531.79,14759.46,0.0,14759.46,12591.85,0.0,0,0,0,0.0,0.0,0.0,1196976.84,1,102.12
bf_qcv_045,period_5,5,49,1942980.13,1902990.06,0.0,47.98,872.12,19180.17,0.0,19180.17,19890.29,0.0,0,1,1,102.12,93.39,8.73,1903083.45,0,0.0
bf_sae1006_045,period_1,1,46,2012079.73,1940007.46,11190.04,345.8,814.45,39873.72,0.0,39873.72,19847.99,0.0,0,0,0,0.0,0.0,0.0,1940007.46,3,11190.04
bf_sae1006_045,period_2,2,48,2018344.19,1949345.19,3114.39,602.86,824.3,43771.91,0.0,43771.91,20685.17,0.0,0,3,3,11190.04,11085.31,104.74,1960430.5,5,3114.39
bf_sae1006_045,period_3,3,53,2243590.09,2170267.85,2299.9,119.84,931.55,48135.3,0.0,48135.3,21835.59,0.0,0,5,5,3114.39,3014.66,99.73,2173282.51,3,2299.9
bf_sae1006_045,period_4,4,36,1521639.92,1471206.63,3634.62,550.12,652.39,31521.93,0.0,31521.93,14074.16,0.0,0,3,3,2299.9,1890.5,409.4,1473097.14,3,3634.62
bf_sae1006_045,period_5,5,57,2480526.35,2397600.35,6623.79,405.46,1010.93,50369.67,0.0,50369.67,24515.93,0.0,0,3,3,3634.62,3606.38,28.23,2401206.73,3,6623.75
bf_sae1006_050,period_1,1,4,177663.5,139453.38,18213.08,0.0,86.87,18429.54,17458.07,971.47,1480.48,0.0,0,0,0,0.0,0.0,0.0,139453.38,4,35671.19
bf_sae1006_050,period_2,2,3,131588.05,103668.92,17101.63,87.39,67.45,9566.14,8603.09,963.05,1096.52,0.0,0,4,4,35671.19,29984.59,5686.6,133653.51,3,25704.72
bf_sae1006_050,period_3,3,3,137981.17,126787.09,8420.2,0.0,71.74,1552.27,0.0,1552.27,1149.82,0.0,0,3,3,25704.72,25165.65,539.06,151952.74,2,8420.2
bf_sae1006_050,period_4,4,3,131588.05,119485.26,1137.22,0.0,67.3,9801.66,9347.51,454.15,1096.52,0.0,0,2,2,8420.2,2272.99,6147.21,121758.24,3,10484.72
bf_sae1006_050,period_5,5,5,224424.65,183430.62,15720.89,262.17,108.67,23032.02,21273.82,1758.2,1870.17,0.0,0,3,3,10484.72,7728.66,2756.06,191159.28,3,36994.71
bz_nbr7008_043,period_1,1,17,864507.2,810005.82,16060.46,548.86,323.16,29133.09,0.0,29133.09,8435.42,0.0,0,0,0,0.0,0.0,0.0,810005.82,7,16060.46
bz_nbr7008_043,period_2,2,18,794619.2,734218.89,16780.17,292.75,321.71,35033.95,0.0,35033.95,7971.56,0.0,0,7,7,16060.46,13149.77,2910.69,747368.66,5,16780.17
bz_nbr7008_043,period_3,3,18,871141.72,818025.03,7809.3,107.86,355.5,36600.3,0.0,36600.3,8243.5,0.0,0,5,5,16780.17,13827.6,2952.57,831852.63,5,7809.36
bz_nbr7008_043,period_4,4,15,697555.8,638216.76,24543.45,140.18,261.43,27247.95,0.0,27247.95,7145.97,0.0,0,5,5,7809.36,6512.79,1296.57,644729.55,11,24543.45
bz_nbr7008_043,period_5,5,21,1080803.06,1013772.17,11158.52,186.34,408.41,44963.23,0.0,44963.23,10313.99,0.0,0,11,11,24543.45,23995.35,548.09,1037767.52,6,11158.52
bz_nbr7008_075,period_1,1,6,215298.54,192612.42,10152.98,184.6,178.49,10016.96,7670.18,2346.78,2153.03,0.0,0,0,0,0.0,0.0,0.0,192612.42,6,17823.16
bz_nbr7008_075,period_2,2,5,178772.02,153270.7,10321.62,113.75,153.91,2446.18,0.0,2446.18,1679.84,10785.92,1,6,6,17823.16,13275.74,4547.42,166546.44,6,21107.54
bz_nbr7008_075,period_3,3,5,187158.95,176751.48,5648.89,0.0,154.12,2732.84,0.0,2732.84,1871.61,0.0,0,6,6,21107.54,17860.65,3246.89,194612.13,4,5648.94
bz_nbr7008_075,period_4,4,5,180099.48,152354.09,16910.89,0.0,149.09,8884.43,8781.5,102.93,1801.03,0.0,0,4,4,5648.94,4268.14,1380.8,156622.24,6,25692.4
bz_nbr7008_075,period_5,5,6,227891.05,211388.71,6998.52,89.22,181.76,6953.86,5647.55,1306.31,2278.93,0.0,0,6,5,25692.4,11635.75,14056.65,223024.46,6,12646.07
bz_nbr7008_095,period_1,1,6,305604.03,292911.62,3926.41,112.09,235.77,5362.01,0.0,5362.01,3056.09,0.0,0,0,0,0.0,0.0,0.0,292911.62,4,3926.41
bz_nbr7008_095,period_2,2,6,303415.78,276318.29,9719.73,339.63,235.77,5755.82,0.0,5755.82,2953.25,8093.24,1,4,4,3926.41,3748.66,177.74,280066.95,4,17812.97
bz_nbr7008_095,period_3,3,7,358106.31,340285.82,9513.03,196.26,276.79,4253.21,0.0,4253.21,3581.09,0.0,0,4,4,17812.97,15737.67,2075.3,356023.49,2,9513.03
bz_nbr7008_095,period_4,4,5,255382.5,246649.78,1878.34,629.36,197.34,3473.76,0.0,3473.76,2553.86,0.0,0,2,2,9513.03,8882.8,630.23,255532.59,2,1878.34
bz_nbr7008_095,period_5,5,6,336635.83,325603.2,1614.15,75.77,235.77,5740.44,0.0,5740.44,3366.33,0.0,0,2,2,1878.34,1851.49,26.85,327454.69,1,1614.15
