instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_lateral_retail_weight,new_lateral_scrap_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight
bf_qcv_045,period_1,1,39,311584.93,304651.69,14.27,7.78,134.17,3589.23,0.0,3589.23,3187.77,0.0,0,0,0,0.0,0.0,0.0,304651.69,2,14.27
bf_qcv_045,period_2,2,35,279699.55,273757.97,0.0,25.13,121.75,2960.84,0.0,2960.84,2833.9,0.0,0,2,1,14.27,12.52,1.75,273770.49,0,0.0
bf_qcv_045,period_3,3,44,347799.24,340432.24,0.0,21.96,150.75,3615.01,0.0,3615.01,3579.34,0.0,0,0,0,0.0,0.0,0.0,340432.24,0,0.0
bf_qcv_045,period_4,4,30,236058.33,230663.97,19.31,41.69,103.04,2813.66,0.0,2813.66,2416.7,0.0,0,0,0,0.0,0.0,0.0,230663.97,1,19.31
bf_qcv_045,period_5,5,49,376047.3,368347.0,0.0,9.07,169.9,3689.75,0.0,3689.75,3831.67,0.0,0,1,1,19.31,17.66,1.65,368364.66,0,0.0
bf_sae1006_045,period_1,1,46,396260.79,382001.43,2261.78,68.5,160.71,7866.72,0.0,7866.72,3901.6,0.0,0,0,0,0.0,0.0,0.0,382001.43,3,2261.78
bf_sae1006_045,period_2,2,48,395592.37,382076.09,625.24,119.16,161.96,8563.43,0.0,8563.43,4046.42,0.0,0,3,3,2261.78,2240.61,21.17,384316.7,5,625.24
bf_sae1006_045,period_3,3,53,441566.54,427122.73,462.68,23.97,183.62,9482.89,0.0,9482.89,4290.64,0.0,0,5,5,625.24,605.32,19.92,427728.05,3,462.68
bf_sae1006_045,period_4,4,36,299894.35,289940.03,714.18,108.09,128.72,6231.8,0.0,6231.8,2771.52,0.0,0,3,3,462.68,380.38,82.3,290320.41,3,714.18
bf_sae1006_045,period_5,5,57,488102.41,471741.17,1338.83,80.54,199.25,9927.49,0.0,9927.49,4815.09,0.0,0,3,3,714.18,708.51,5.67,472449.68,3,1338.82
bf_sae1006_050,period_1,1,4,34397.98,27000.0,3526.29,0.0,16.82,3568.2,3380.11,188.09,286.64,0.0,0,0,0,0.0,0.0,0.0,27000.0,4,6906.41
bf_sae1006_050,period_2,2,3,25477.17,20071.66,3311.1,16.92,13.06,1852.13,1665.67,186.46,212.3,0.0,0,4,4,6906.41,5805.41,1101.0,25877.07,3,4976.77
bf_sae1006_050,period_3,3,3,26714.96,24547.64,1630.26,0.0,13.89,300.54,0.0,300.54,222.62,0.0,0,3,3,4976.77,4872.4,104.37,29420.04,2,1630.26
bf_sae1006_050,period_4,4,3,25477.17,23133.91,220.18,0.0,13.03,1897.73,1809.8,87.93,212.3,0.0,0,2,2,1630.26,440.08,1190.18,23573.99,3,2029.98
bf_sae1006_050,period_5,5,5,43451.55,35514.57,3043.77,50.76,21.04,4459.3,4118.89,340.41,362.09,0.0,0,3,3,2029.98,1496.37,533.61,37010.94,3,7162.66
bz_nbr7008_043,period_1,1,17,151043.86,141553.72,2783.99,97.91,56.44,5074.13,0.0,5074.13,1477.6,0.0,0,0,0,0.0,0.0,0.0,141553.72,7,2783.99
bz_nbr7008_043,period_2,2,18,140171.16,129450.31,3025.06,51.61,56.87,6176.84,0.0,6176.84,1410.44,0.0,0,7,7,2783.99,2277.22,506.77,131727.53,5,3025.06
bz_nbr7008_043,period_3,3,18,151182.7,142032.99,1345.31,18.88,61.55,6288.1,0.0,6288.1,1435.83,0.0,0,5,5,3025.06,2485.46,539.6,144518.45,5,1345.32
bz_nbr7008_043,period_4,4,15,123551.81,112990.27,4383.45,24.83,46.5,4839.25,0.0,4839.25,1267.5,0.0,0,5,5,1345.32,1119.6,225.72,114109.87,11,4383.45
bz_nbr7008_043,period_5,5,21,187929.17,176303.46,1988.02,32.6,70.91,7734.56,0.0,7734.56,1799.55,0.0,0,11,11,4383.45,4285.61,97.84,180589.07,6,1988.02
bz_nbr7008_075,period_1,1,6,40203.19,35966.96,1895.89,34.47,33.33,1870.49,1432.27,438.22,402.04,0.0,0,0,0,0.0,0.0,0.0,35966.96,6,3328.16
bz_nbr7008_075,period_2,2,5,33382.51,28620.59,1927.38,21.24,28.74,456.78,0.0,456.78,313.68,2014.08,1,6,6,3328.16,2479.01,849.15,31099.6,6,3941.46
bz_nbr7008_075,period_3,3,5,34948.62,33005.21,1054.83,0.0,28.78,510.31,0.0,510.31,349.49,0.0,0,6,6,3941.46,3335.16,606.3,36340.37,4,1054.84
bz_nbr7008_075,period_4,4,5,33630.39,28449.43,3157.81,0.0,27.84,1659.01,1639.79,19.22,336.31,0.0,0,4,4,1054.84,797.0,257.84,29246.43,6,4797.6
bz_nbr7008_075,period_5,5,6,42554.62,39473.1,1306.85,16.66,33.94,1298.51,1054.58,243.93,425.55,0.0,0,6,5,4797.6,2172.77,2624.83,41645.87,6,2361.43
bz_nbr7008_095,period_1,1,6,56463.16,54118.12,725.44,20.71,43.56,990.68,0.0,990.68,564.64,0.0,0,0,0,0.0,0.0,0.0,54118.12,4,725.44
bz_nbr7008_095,period_2,2,6,56058.86,51052.35,1795.81,62.75,43.56,1063.44,0.0,1063.44,545.64,1495.3,1,4,4,725.44,692.6,32.84,51744.95,4,3291.11
bz_nbr7008_095,period_3,3,7,66163.44,62870.94,1757.62,36.26,51.14,785.82,0.0,785.82,661.64,0.0,0,4,4,3291.11,2907.68,383.43,65778.62,2,1757.62
bz_nbr7008_095,period_4,4,5,47184.27,45570.82,347.04,116.28,36.46,641.81,0.0,641.81,471.85,0.0,0,2,2,1757.62,1641.18,116.44,47212.0,2,347.04
bz_nbr7008_095,period_5,5,6,62196.57,60158.19,298.23,14.0,43.56,1060.6,0.0,1060.6,621.96,0.0,0,2,2,347.04,342.08,4.96,60500.27,1,298.23
