
Gurobi 13.0.2 (linux64, Python) logging started Thu May 28 04:57:06 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 600
Set parameter LogFile to value "output/bf_sae1006_045/period_1/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  600
LogToConsole  0

Optimize a model with 169560 rows, 131718 columns and 509142 nonzeros (Min)
Model fingerprint: 0xae218f17
Model has 54270 linear objective coefficients
Variable types: 107946 continuous, 23772 integer (23772 binary)
Coefficient statistics:
  Matrix range     [1e-02, 1e+04]
  Objective range  [1e+01, 1e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [3e-01, 2e+05]

Presolve removed 116496 rows and 90792 columns
Presolve time: 1.43s
Presolved: 53064 rows, 40926 columns, 388641 nonzeros
Variable types: 26898 continuous, 14028 integer (14028 binary)
Found heuristic solution: objective 3.684351e+07
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...

Concurrent spin time: 0.02s

Solved with primal simplex

Root relaxation: objective 2.047174e+06, 67877 iterations, 1.92 seconds (4.54 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2047173.98    0  211 3.6844e+07 2047173.98  94.4%     -    3s
H    0     0                    3.613925e+07 2047173.98  94.3%     -    4s
H    0     0                    2.032447e+07 2047173.98  89.9%     -    4s
H    0     0                    2.030244e+07 2047173.98  89.9%     -    4s
H    0     0                    1.854399e+07 2047173.98  89.0%     -    4s
H    0     0                    1.841649e+07 2047173.98  88.9%     -    4s
H    0     0                    1.841643e+07 2047173.98  88.9%     -    4s
H    0     0                    1.841464e+07 2047173.98  88.9%     -    4s
H    0     0                    1.841397e+07 2047173.98  88.9%     -    4s
H    0     0                    7408211.1497 2047173.98  72.4%     -    4s
H    0     0                    7404244.8644 2047173.98  72.4%     -    4s
H    0     0                    7339513.0476 2047173.98  72.1%     -    4s
H    0     0                    7337935.3349 2047173.98  72.1%     -    4s
H    0     0                    7309262.7181 2047173.98  72.0%     -    4s
H    0     0                    7255081.8854 2047173.98  71.8%     -    4s
H    0     0                    7254472.3878 2047173.98  71.8%     -    4s
H    0     0                    7253729.7373 2047173.98  71.8%     -    4s
H    0     0                    7253439.5989 2047173.98  71.8%     -    4s
H    0     0                    7253080.9129 2047173.98  71.8%     -    4s
     0     0 2048048.73    0  245 7253080.91 2048048.73  71.8%     -    5s
H    0     0                    7203137.7059 2048053.13  71.6%     -    6s
H    0     0                    7183467.0994 2048053.13  71.5%     -    6s
H    0     0                    7005585.5950 2048053.13  70.8%     -    6s
H    0     0                    6790852.7309 2048053.13  69.8%     -    6s
H    0     0                    6717152.2838 2048053.13  69.5%     -    6s
H    0     0                    6651207.0321 2048053.13  69.2%     -    6s
H    0     0                    5867619.4649 2048053.13  65.1%     -    6s
H    0     0                    5817098.8184 2048053.13  64.8%     -    6s
H    0     0                    5727898.6898 2048053.13  64.2%     -    6s
H    0     0                    5634511.3825 2084970.66  63.0%     -    8s
H    0     0                    5127048.6125 2084970.66  59.3%     -    8s
H    0     0                    5065030.1257 2084970.66  58.8%     -    8s
H    0     0                    5052799.0258 2084970.66  58.7%     -    8s
H    0     0                    4881325.0847 2084970.66  57.3%     -    8s
H    0     0                    4861078.6280 2084970.66  57.1%     -    8s
H    0     0                    4796736.2393 2084970.66  56.5%     -    8s
H    0     0                    4118107.9988 2084970.66  49.4%     -    8s
H    0     0                    4073506.3191 2084970.66  48.8%     -    8s
H    0     0                    4045757.6542 2084970.66  48.5%     -    8s
H    0     0                    3951558.5833 2084970.66  47.2%     -    8s
H    0     0                    3936836.7421 2084970.66  47.0%     -    8s
H    0     0                    3651190.1484 2084970.66  42.9%     -    8s
H    0     0                    3630036.3049 2084970.66  42.6%     -    8s
H    0     0                    3617437.0949 2084970.66  42.4%     -    8s
     0     0 2084970.66    0  277 3617437.09 2084970.66  42.4%     -    8s
H    0     0                    3604105.9041 2084970.82  42.2%     -    9s
H    0     0                    3492384.8313 2084970.82  40.3%     -    9s
H    0     0                    3473407.9771 2084970.82  40.0%     -    9s
H    0     0                    3433990.5134 2084970.82  39.3%     -    9s
H    0     0                    3393991.3579 2084970.82  38.6%     -    9s
H    0     0                    3393969.0661 2084970.82  38.6%     -    9s
H    0     0                    3393887.6144 2084970.82  38.6%     -    9s
H    0     0                    3354373.2991 2085125.76  37.8%     -    9s
H    0     0                    3349172.4468 2085125.76  37.7%     -    9s
H    0     0                    3332543.9252 2085125.76  37.4%     -    9s
H    0     0                    3321479.6763 2085125.76  37.2%     -    9s
H    0     0                    3264154.9010 2085125.76  36.1%     -    9s
     0     0 2085125.76    0  278 3264154.90 2085125.76  36.1%     -    9s
