
Gurobi 13.0.2 (linux64, Python) logging started Wed Jun  3 12:20:41 2026

Set parameter LogToConsole to value 0
Set parameter Username
Set parameter LicenseID to value 2748191
Set parameter TimeLimit to value 600
Set parameter LogFile to value "output/bf_qcv_045/period_5/gurobi.log"
Academic license - for non-commercial use only - expires 2026-12-01
Gurobi Optimizer version 13.0.2 build v13.0.2rc1 (linux64 - "Debian GNU/Linux 13 (trixie)")

CPU model: 13th Gen Intel(R) Core(TM) i7-13700HX, instruction set [SSE2|AVX|AVX2]
Thread count: 24 physical cores, 24 logical processors, using up to 24 threads

Non-default parameters:
TimeLimit  600
LogToConsole  0

Optimize a model with 62480 rows, 49980 columns and 166260 nonzeros (Min)
Model fingerprint: 0xff237367
Model has 20400 linear objective coefficients
Variable types: 40290 continuous, 9690 integer (9690 binary)
Coefficient statistics:
  Matrix range     [1e-02, 1e+04]
  Objective range  [1e+01, 2e+05]
  Bounds range     [1e+00, 1e+00]
  RHS range        [4e-01, 1e+05]

Presolve removed 44697 rows and 35754 columns
Presolve time: 0.27s
Presolved: 17783 rows, 14226 columns, 75111 nonzeros
Variable types: 9399 continuous, 4827 integer (4827 binary)
Found heuristic solution: objective 2.404063e+07
Found heuristic solution: objective 6694608.8836

Root relaxation: objective 2.135835e+06, 12351 iterations, 0.37 seconds (0.99 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 2135834.90    0  207 6694608.88 2135834.90  68.1%     -    0s
H    0     0                    6543779.1501 2135834.90  67.4%     -    0s
H    0     0                    6502921.4404 2135834.90  67.2%     -    0s
H    0     0                    6502012.6497 2135834.90  67.2%     -    0s
H    0     0                    6173160.1205 2135834.90  65.4%     -    0s
H    0     0                    5642466.5924 2135834.90  62.1%     -    0s
H    0     0                    5599634.7533 2135834.90  61.9%     -    0s
H    0     0                    5576041.1527 2135834.90  61.7%     -    0s
H    0     0                    5565923.9812 2135834.90  61.6%     -    1s
H    0     0                    5564601.9226 2135834.90  61.6%     -    1s
H    0     0                    5474486.5924 2135834.90  61.0%     -    1s
     0     0 2136364.31    0  215 5474486.59 2136364.31  61.0%     -    1s
H    0     0                    2718277.2553 2136364.41  21.4%     -    1s
H    0     0                    2523201.0730 2136364.41  15.3%     -    1s
H    0     0                    2433704.9627 2136364.41  12.2%     -    1s
H    0     0                    2433171.0817 2136364.41  12.2%     -    1s
H    0     0                    2433168.8343 2136364.41  12.2%     -    1s
H    0     0                    2430648.2007 2136364.41  12.1%     -    1s
H    0     0                    2430645.9533 2136364.41  12.1%     -    1s
     0     0 2136364.41    0  215 2430645.95 2136364.41  12.1%     -    1s
     0     0 2136805.98    0  232 2430645.95 2136805.98  12.1%     -    1s
     0     0 2136817.97    0  232 2430645.95 2136817.97  12.1%     -    2s
H    0     0                    2428056.6206 2136817.97  12.0%     -    2s
H    0     0                    2427568.7132 2136817.97  12.0%     -    2s
H    0     0                    2384750.8817 2139708.58  10.3%     -    2s
H    0     0                    2384109.0996 2139708.58  10.3%     -    2s
H    0     0                    2380722.9722 2139708.58  10.1%     -    2s
H    0     0                    2372143.5416 2139708.58  9.80%     -    2s
     0     0 2139708.58    0  266 2372143.54 2139708.58  9.80%     -    2s
H    0     0                    2335506.2934 2140113.01  8.37%     -    2s
     0     0 2140113.01    0  261 2335506.29 2140113.01  8.37%     -    2s
     0     0 2140115.98    0  259 2335506.29 2140115.98  8.37%     -    2s
H    0     0                    2314251.7187 2140118.89  7.52%     -    2s
H    0     0                    2313366.5369 2140118.89  7.49%     -    2s
     0     0 2140118.89    0  258 2313366.54 2140118.89  7.49%     -    2s
     0     0 2140122.07    0  261 2313366.54 2140122.07  7.49%     -    2s
     0     0 2140123.04    0  260 2313366.54 2140123.04  7.49%     -    2s
     0     0 2143180.02    0  291 2313366.54 2143180.02  7.36%     -    3s
     0     0 2143220.69    0  283 2313366.54 2143220.69  7.35%     -    3s
     0     0 2143240.02    0  282 2313366.54 2143240.02  7.35%     -    3s
     0     0 2143271.00    0  300 2313366.54 2143271.00  7.35%     -    3s
     0     0 2143461.97    0  309 2313366.54 2143461.97  7.34%     -    3s
     0     0 2143471.79    0  296 2313366.54 2143471.79  7.34%     -    3s
     0     0 2143471.83    0  296 2313366.54 2143471.83  7.34%     -    3s
     0     0 2143665.33    0  295 2313366.54 2143665.33  7.34%     -    3s
     0     0 2143693.22    0  303 2313366.54 2143693.22  7.33%     -    3s
     0     0 2143712.34    0  300 2313366.54 2143712.34  7.33%     -    3s
     0     0 2143722.63    0  302 2313366.54 2143722.63  7.33%     -    4s
     0     0 2143734.48    0  299 2313366.54 2143734.48  7.33%     -    4s
     0     0 2143904.57    0  310 2313366.54 2143904.57  7.33%     -    4s
     0     0 2143930.44    0  303 2313366.54 2143930.44  7.32%     -    4s
H    0     0                    2303006.1145 2143937.70  6.91%     -    4s
     0     0 2143937.70    0  311 2303006.11 2143937.70  6.91%     -    4s
     0     0 2143937.75    0  311 2303006.11 2143937.75  6.91%     -    4s
H    0     0                    2302192.8470 2144435.66  6.85%     -    4s
